;match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
68;7908326940;2128;1724315062;9504786;;9504805;Team Bangladesh;17030;Open Esports Student Games;899867;3;43;18;True;21
69;7908321395;1797;1724313781;9498970;AVULUS;9449748;DMS;17056;CCT Dota 2 Series 3;899866;1;23;14;True;21
70;7908316531;1796;1724313288;9018543;Hustlers;9330493;RuleBreakers;16312;Ancients League;899861;1;24;36;False;21
71;7908312384;1699;1724313036;8629324;Swift Knights;9426115;Dark Rebellion;16059;Destiny League;899865;1;26;35;False;21
72;7908301462;1765;1724312159;8629005;Flawless Goblins;9425660;Shadow Avengers;16059;Destiny League;899863;1;40;44;True;21
73;7908276470;2106;1724310069;9330493;RuleBreakers;9018543;Hustlers;16312;Ancients League;899861;1;35;47;False;21
74;7908275569;1981;1724310082;9425656;LSG;8629014;Dragon Blood;16059;Destiny League;899860;1;40;25;True;21
75;7908271328;1840;1724309679;9425660;Shadow Avengers;8629005;Flawless Goblins;16059;Destiny League;899863;1;30;43;False;21
76;7908260525;1801;1724308648;9493584;Eye Gaming;9476660;Prodigy of God;15901;Ultras Dota Pro League  2023-24;899862;1;18;30;False;21
77;7908249894;1526;1724307650;9018543;Hustlers;9330493;RuleBreakers;16312;Ancients League;899861;1;24;29;False;21
78;7908248361;1599;1724307555;8629014;Dragon Blood;9425656;LSG;16059;Destiny League;899860;1;40;24;True;21
79;7908242101;1754;1724306957;8629318;Mad Monkeys;8629315;Wiser Warriors;16059;Destiny League;899857;1;24;44;False;21
80;7908229588;1243;1724305808;9425656;LSG;8629014;Dragon Blood;16059;Destiny League;899860;1;36;20;True;21
81;7908225448;2386;1724305299;9467112;Prodigy Of God;9088071;EYE Gaming;15901;Ultras Dota Pro League  2023-24;899859;1;30;32;True;21
82;7908220782;1931;1724304791;8893825;Lucky Bulldogs;9332046;Dominatrix;16312;Ancients League;899854;1;41;30;True;21
83;7908218559;1636;1724304670;8629315;Wiser Warriors;8629318;Mad Monkeys;16059;Destiny League;899857;1;31;21;True;21
84;7908190222;2336;1724301677;9332046;Dominatrix;8893825;Lucky Bulldogs;16312;Ancients League;899854;1;44;36;True;21
85;7908190061;2448;1724301904;8629317;Bright Crusaders;9425660;Shadow Avengers;16059;Destiny League;899853;1;35;47;False;21
86;7908186493;1905;1724301323;9426115;Dark Rebellion;2443375;Foxy gaming;16059;Destiny League;899847;1;42;31;True;21
87;7908166862;1584;1724299272;8893825;Lucky Bulldogs;9332046;Dominatrix;16312;Ancients League;899854;1;38;15;True;21
88;7908166821;1380;1724299275;2443375;Foxy gaming;9426115;Dark Rebellion;16059;Destiny League;899847;1;18;27;False;21
89;7908166728;1275;1724299597;9425660;Shadow Avengers;8629317;Bright Crusaders;16059;Destiny League;899853;1;26;10;True;21
